sha256	size	name
935cc73388ba5abbbd0e89c747c1ea5d56f271114d88e5503bb8a54065686815	44241	candidate_view_sprint006_baseline_v1_cross.parquet
60be70ea409ed2c2f6d2856eee0368348390e5b037db414f68453af337b7bc57	44221	candidate_view_sprint006_baseline_v1_mid.parquet
d150217e2b5eae8f845d34c75a8cdb3c59103def3633093078b67dd4ddf13b4c	4239	date_status_sprint006_baseline_v1_cross.parquet
d150217e2b5eae8f845d34c75a8cdb3c59103def3633093078b67dd4ddf13b4c	4239	date_status_sprint006_baseline_v1_mid.parquet
3e8e33c7b6fb7dfa522a2b4b8ca2b7643131bf95c252ca0c48bd2b9ef602fc61	58867	date_summary_sprint006_baseline_v1_cross.parquet
d5c989127525d5c646cea3c3765c945b648c9d7836339143acb5f32faf3126dd	58867	date_summary_sprint006_baseline_v1_mid.parquet
8150885854adb7e0454b068ab0a89590fff48b9f6ec96b0f89d60e66980d3b37	92264	decision_report.json
18ea6421985c99fe20f0f9d0a1589ce20a6554943e39e2930a8268ad7f372fb8	5196	decision_report.md
504ac70f51e1e32773b6ece4a957fa38c0044414c31a5ca7be15717bf5dc2e4e	18496	funnel_summary_sprint006_baseline_v1_cross.parquet
38fc55b84c463d58680a19ac1cffcee5dc9e150ca57cf129a1345c8b24eea8f2	18476	funnel_summary_sprint006_baseline_v1_mid.parquet
07a2568ba24006cf3ff1baa02029e4920958c45964ea4eba241e37a183337f6d	956485	leg_log_sprint006_baseline_v1_cross.parquet
5108cd1a39b2ebebde7a8b3f4e13e1a0965232097d10e7b07ddad7e91a23794f	994534	leg_log_sprint006_baseline_v1_mid.parquet
4499ee89707fc0b514ad5276e5e5cfa4db5d829482cfec1c635e594a1ec35461	9460	run_receipt.json
94176b7c5f8ef509a9c4103332b8faf7c62f425cf0f46bbd5451a8c2c2fabdbb	1306	run_summary_sprint006_baseline_v1_cross.json
571da0c02573329383252db9b58792c9e98b3b4f91f29789ee83c6b23faaeee1	1280	run_summary_sprint006_baseline_v1_mid.json
3894ab2f8fdaf8372b0f3007dabddeaf1aa3a726bb43cf62b58339d638955fb5	2135985	trade_log_sprint006_baseline_v1_cross.parquet
9c42aa2c45521a8b54488a222105025c69f145bcdd9add8364b4622b31394e73	2104916	trade_log_sprint006_baseline_v1_mid.parquet
